Listings id,Last year reviews,Host since,Host is superhost,Host number of listings,Neighbourhood,Beds number,Bedrooms number,Property type,Maximum allowed guests,Price,Total reviews,Rating score,Accuracy score,Cleanliness score,Checkin score,Communication score,Location score,Value for money score,Reviews per month,City,Season,Bathrooms number,Bathrooms type,Coordinates,Date of scraping
23590877,32,2014-08-05,Superhost,8.0,Centro Storico,1.0,1.0,Entire home,2,295.0,250,4.93,4.92,4.89,4.98,4.99,4.99,4.88,3.16,Firenze,Early Autumn,1,private,"43.76848, 11.25282",2024-09-15
17395523,42,2017-02-22,Superhost,2.0,Centro Storico,1.0,1.0,Entire home,2,143.0,327,4.8,4.83,4.86,4.87,4.91,4.96,4.82,3.71,Firenze,Early Autumn,1,private,"43.76912, 11.26225",2024-09-15
11052737,58,2015-10-02,Superhost,4.0,Centro Storico,2.0,1.0,Entire home,3,146.0,289,4.91,4.92,4.94,4.95,4.96,4.97,4.88,3.08,Firenze,Early Autumn,2,private,"43.77238, 11.25461",2024-09-15
32906723,7,2011-04-06,Superhost,40.0,Centro Storico,1.0,0.0,Entire home,2,150.0,92,4.88,4.87,4.95,4.85,4.92,4.93,4.8,1.39,Firenze,Early Autumn,1,private,"43.77484, 11.25695",2024-09-15
1171709272787948350,3,2014-11-30,Superhost,40.0,Centro Storico,4.0,2.0,Entire home,6,312.0,3,4.67,5.0,5.0,4.67,4.67,4.33,4.33,1.22,Firenze,Early Autumn,1,private,"43.77554, 11.25897",2024-09-15
25366105,3,2015-07-20,Host,7.0,Centro Storico,1.0,1.0,Private room,2,155.0,43,4.67,4.77,4.84,4.91,4.84,5.0,4.7,0.56,Firenze,Early Autumn,1,private,"43.77173, 11.25693",2024-09-15
740384149335135842,4,2018-02-24,Host,73.0,Centro Storico,3.0,2.0,Entire home,4,160.0,7,4.86,4.86,5.0,5.0,5.0,4.71,5.0,0.34,Firenze,Early Autumn,1,private,"43.772055, 11.264583",2024-09-15
907226565939965852,58,2022-05-20,Superhost,2.0,Centro Storico,2.0,2.0,Entire home,4,164.0,58,4.97,4.97,4.98,4.98,5.0,5.0,4.97,5.0,Firenze,Early Autumn,1,private,"43.77432875088638, 11.246601305902004",2024-09-15
14368160,29,2016-08-05,Superhost,2.0,Centro Storico,3.0,1.0,Entire home,4,160.0,118,4.83,4.85,4.86,4.9,4.88,4.96,4.74,1.21,Firenze,Early Autumn,2,private,"43.77542495727539, 11.251404762268066",2024-09-15
861569746604677222,32,2014-02-10,Superhost,9.0,Centro Storico,3.0,2.0,Entire home,5,450.0,44,4.95,4.95,5.0,4.98,5.0,5.0,4.86,2.53,Firenze,Early Autumn,1,private,"43.769551337575, 11.254759948675485",2024-09-15
35736105,0,2019-06-15,Host,2.0,Rifredi,6.0,4.0,Entire home,9,250.0,3,4.67,4.67,4.67,4.67,5.0,4.33,4.33,0.12,Firenze,Early Autumn,3,private,"43.79464, 11.24989",2024-09-15
742479101427320162,7,2014-11-18,Host,438.0,Centro Storico,4.0,2.0,Entire home,6,187.0,18,4.22,4.56,4.33,4.67,4.39,4.78,4.22,0.86,Firenze,Early Autumn,1,private,"43.77254, 11.2626",2024-09-15
43714315,6,2019-10-31,Host,6.0,Centro Storico,2.0,1.0,Entire home,2,217.0,73,4.85,4.81,4.84,4.9,4.97,4.95,4.73,1.45,Firenze,Early Autumn,1,private,"43.7643, 11.2629",2024-09-15
1324714,34,2013-06-30,Host,8.0,Centro Storico,1.0,1.0,Private room,3,92.0,329,4.43,4.71,4.77,4.79,4.81,4.13,4.4,2.42,Firenze,Early Autumn,1,private,"43.784889221191406, 11.231990814208984",2024-09-15
40203936,0,2015-08-30,Host,14.0,Centro Storico,1.0,1.0,Private room,16,59.0,3,5.0,5.0,5.0,3.67,5.0,5.0,5.0,0.06,Firenze,Early Autumn,1,private,"43.7669, 11.25375",2024-09-15
22275535,64,2017-08-03,Superhost,3.0,Centro Storico,3.0,2.0,Entire home,7,205.0,308,4.93,4.94,4.97,4.94,4.93,4.92,4.9,3.76,Firenze,Early Autumn,2,private,"43.773, 11.24678",2024-09-15
75803,0,2011-02-21,Host,3.0,Gavinana Galluzzo,7.0,2.0,Entire home,8,155.0,10,4.8,5.0,5.0,5.0,4.9,4.7,4.9,0.06,Firenze,Early Autumn,2,private,"43.74185, 11.21287",2024-09-15
960208181119370522,9,2019-05-05,Superhost,3.0,Centro Storico,2.0,1.0,Entire home,4,182.0,9,4.78,4.67,4.89,5.0,4.89,5.0,4.56,0.75,Firenze,Early Autumn,2,private,"43.77216241099133, 11.26395233439331",2024-09-15
4231275,3,2014-09-30,Superhost,2.0,Centro Storico,2.0,1.0,Entire home,2,150.0,70,4.86,4.91,4.93,4.99,4.99,4.97,4.74,0.59,Firenze,Early Autumn,1,private,"43.76955, 11.26565",2024-09-15
50000535,28,2013-08-04,Host,7.0,Centro Storico,1.0,1.0,Entire home,2,178.0,44,4.52,4.64,4.68,4.7,4.8,4.91,4.52,1.15,Firenze,Early Autumn,1,private,"43.768974, 11.261581",2024-09-15
23365207,9,2013-04-14,Superhost,12.0,Centro Storico,2.0,2.0,Entire home,4,110.0,27,5.0,5.0,4.93,5.0,5.0,4.96,5.0,0.35,Firenze,Early Autumn,1,private,"43.75953, 11.23807",2024-09-15
636853515321437342,35,2020-07-10,Superhost,13.0,Centro Storico,1.0,0.0,Entire home,2,147.0,104,4.92,4.96,4.91,5.0,4.99,4.97,4.83,3.72,Firenze,Early Autumn,1,private,"43.76552, 11.24909",2024-09-15
921674062747574509,54,2016-03-08,Host,4.0,Centro Storico,4.0,2.0,Entire home,5,250.0,61,4.61,4.69,4.8,4.38,4.59,4.9,4.7,4.27,Firenze,Early Autumn,2,private,"43.77128857101752, 11.25425255200238",2024-09-15
1150557296662062890,6,2015-06-29,Host,1.0,Centro Storico,3.0,1.0,Entire home,4,147.0,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.91,Firenze,Early Autumn,1,private,"43.7754905, 11.2564601",2024-09-15
37109359,33,2019-07-25,Superhost,4.0,Centro Storico,1.0,1.0,Entire home,3,117.0,168,4.77,4.83,4.86,4.78,4.83,4.89,4.67,2.69,Firenze,Early Autumn,1,private,"43.776493072509766, 11.26608943939209",2024-09-15
1050519190999828600,15,2017-08-09,Host,3.0,Centro Storico,2.0,1.0,Entire home,3,131.0,15,4.73,4.67,4.93,4.8,5.0,4.6,4.67,2.65,Firenze,Early Autumn,1,private,"43.771348511965385, 11.261780261993408",2024-09-15
601257428648515492,0,2019-03-21,Host,1.0,Rifredi,1.0,1.0,Entire home,4,64.0,10,4.9,4.9,5.0,4.9,4.8,4.4,5.0,0.34,Firenze,Early Autumn,1,private,"43.79333, 11.16854",2024-09-15
28020267,1,2017-07-01,Host,1.0,Isolotto Legnaia,2.0,1.0,Entire home,4,100.0,24,5.0,5.0,5.0,5.0,5.0,4.83,5.0,0.35,Firenze,Early Autumn,1,private,"43.76597, 11.22102",2024-09-15
6478015,15,2015-05-19,Host,2.0,Centro Storico,2.0,2.0,Entire home,4,90.0,88,4.64,4.68,4.65,4.8,4.89,4.88,4.66,0.83,Firenze,Early Autumn,2,private,"43.77167, 11.26406",2024-09-15
52837666,25,2021-10-17,Host,1.0,Campo di Marte,2.0,0.0,Entire home,2,90.0,47,4.79,4.74,4.81,4.6,4.45,4.7,4.62,2.75,Firenze,Early Autumn,1,private,"43.78365, 11.27569",2024-09-15
1177370250323331135,3,2015-07-17,Host,82.0,Rifredi,2.0,1.0,Entire home,3,89.0,3,4.33,5.0,4.67,4.33,4.67,4.67,4.33,1.48,Firenze,Early Autumn,1,private,"43.7877607, 11.2373355",2024-09-15
41310997,43,2014-08-05,Superhost,8.0,Centro Storico,3.0,3.0,Entire home,6,755.0,65,4.98,4.97,4.98,4.98,4.98,4.98,4.94,3.85,Firenze,Early Autumn,3,private,"43.7716523, 11.2510525",2024-09-15
1131977533044439798,3,2024-04-10,Host,2.0,Isolotto Legnaia,2.0,1.0,Entire home,4,225.0,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.96,Firenze,Early Autumn,1,private,"43.77081723573162, 11.231422481547062",2024-09-15
13768231,1,2016-04-19,Host,14.0,Campo di Marte,1.0,1.0,Private room,1,100.0,9,4.56,4.78,4.67,4.89,4.78,4.33,4.67,0.09,Firenze,Early Autumn,1,shared,"43.77784, 11.28838",2024-09-15
775937046560193311,48,2021-05-16,Superhost,3.0,Centro Storico,3.0,2.0,Entire home,5,188.0,75,4.88,4.93,4.92,4.91,4.85,4.77,4.76,4.21,Firenze,Early Autumn,1,private,"43.7743069745334, 11.247032930617788",2024-09-15
17135300,26,2017-02-04,Superhost,1.0,Centro Storico,4.0,2.0,Entire home,6,141.0,137,4.93,4.95,4.99,4.98,4.98,4.76,4.91,1.52,Firenze,Early Autumn,2,private,"43.76321, 11.23989",2024-09-15
17696608,78,2014-08-30,Host,4.0,Centro Storico,1.0,1.0,Private room,2,101.0,525,4.57,4.72,4.43,4.88,4.93,4.91,4.59,5.76,Firenze,Early Autumn,1,shared,"43.77879, 11.25706",2024-09-15
15458307,53,2012-08-06,Superhost,30.0,Centro Storico,3.0,2.0,Entire home,4,319.0,296,4.85,4.91,4.88,4.91,4.92,4.99,4.84,3.07,Firenze,Early Autumn,2,private,"43.77065, 11.25556",2024-09-15
7007644,9,2015-06-25,Superhost,1.0,Campo di Marte,1.0,1.0,Private room,2,48.0,80,4.94,4.95,4.92,4.99,4.99,4.56,4.9,0.73,Firenze,Early Autumn,1,private,"43.79075, 11.2689",2024-09-15
2001640,11,2013-11-25,Superhost,6.0,Campo di Marte,1.0,1.0,Entire home,2,234.0,47,4.94,4.83,4.94,4.89,4.96,4.87,4.79,0.47,Firenze,Early Autumn,1,private,"43.78084, 11.3259",2024-09-15
778385288402121635,7,2024-06-12,Host,27.0,Centro Storico,1.0,1.0,Entire home,2,182.0,27,4.67,4.81,4.93,4.78,4.85,4.93,4.59,1.29,Firenze,Early Autumn,1,private,"43.7648976, 11.2599048",2024-09-15
30166571,1,2015-10-01,Superhost,3.0,Isolotto Legnaia,3.0,3.0,Entire home,7,70.0,1,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.2,Firenze,Early Autumn,1,private,"43.76231, 11.20721",2024-09-15
31273934,2,2015-07-20,Host,7.0,Centro Storico,1.0,1.0,Private room,2,152.0,56,4.82,4.89,4.96,5.0,4.91,5.0,4.79,0.85,Firenze,Early Autumn,1,private,"43.77155, 11.25657",2024-09-15
45596030,32,2020-09-07,Superhost,14.0,Centro Storico,2.0,2.0,Entire home,4,173.0,74,4.8,4.81,4.76,4.96,4.99,4.77,4.7,1.54,Firenze,Early Autumn,1,private,"43.763938903808594, 11.239701271057127",2024-09-15
22176463,6,2011-04-15,Host,3.0,Centro Storico,2.0,1.0,Entire home,4,300.0,70,4.99,4.99,5.0,5.0,4.97,4.94,4.96,0.86,Firenze,Early Autumn,1,private,"43.77427, 11.24228",2024-09-15
